"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2020","1,893.40","1,893.20","1,900.30","1,890.50","0.37K","0.14%"
"Dec 28, 2020","1,890.80","1,900.80","1,912.00","1,885.80","0.54K","-0.12%"
"Dec 24, 2020","1,893.10","1,888.90","1,897.00","1,886.90","0.18K","0.29%"
"Dec 23, 2020","1,887.60","1,881.50","1,892.30","1,872.60","0.44K","0.40%"
"Dec 22, 2020","1,880.00","1,891.10","1,892.00","1,875.60","0.69K","-0.64%"
"Dec 21, 2020","1,892.20","1,916.40","1,920.90","1,872.00","0.56K","-0.32%"
"Dec 18, 2020","1,898.20","1,893.60","1,903.70","1,892.10","0.57K","-0.07%"
"Dec 17, 2020","1,899.50","1,876.10","1,910.00","1,876.10","0.35K","1.69%"
"Dec 16, 2020","1,867.90","1,871.20","1,876.00","1,864.90","0.85K","0.16%"
"Dec 15, 2020","1,864.90","1,850.20","1,865.70","1,850.20","0.50K","1.25%"
"Dec 14, 2020","1,841.90","1,848.30","1,849.10","1,830.00","0.68K","-0.60%"
"Dec 11, 2020","1,853.10","1,848.90","1,859.50","1,836.60","2.14K","0.34%"
"Dec 10, 2020","1,846.90","1,849.60","1,857.10","1,840.80","2.72K","-0.04%"
"Dec 09, 2020","1,847.70","1,883.10","1,883.10","1,844.00","1.66K","-1.94%"
"Dec 08, 2020","1,884.20","1,877.00","1,886.60","1,874.50","1.91K","0.47%"
"Dec 07, 2020","1,875.30","1,847.90","1,880.40","1,834.20","2.15K","1.42%"
"Dec 04, 2020","1,849.00","1,850.00","1,860.40","1,842.80","0.91K","0.00%"
"Dec 03, 2020","1,849.00","1,843.60","1,854.40","1,836.10","0.91K","0.58%"
"Dec 02, 2020","1,838.40","1,820.60","1,843.00","1,820.60","1.15K","0.58%"
"Dec 01, 2020","1,827.80","1,789.40","1,829.70","1,789.40","1.45K","2.10%"
"Nov 30, 2020","1,790.20","1,798.80","1,798.80","1,776.60","0.89K","-0.41%"
"Nov 27, 2020","1,797.50","1,824.00","1,826.40","1,787.00","0.55K","-0.53%"
"Nov 26, 2020","1,807.00","1,806.25","1,816.80","1,804.20","-","-0.73%"
"Nov 25, 2020","1,820.20","1,821.70","1,829.90","1,818.40","0.74K","-0.02%"
"Nov 24, 2020","1,820.60","1,850.80","1,851.20","1,817.50","0.74K","-1.82%"
"Nov 23, 2020","1,854.30","1,885.20","1,889.60","1,846.50","0.78K","-1.80%"
"Nov 20, 2020","1,888.20","1,882.70","1,894.00","1,881.70","0.28K","0.58%"
"Nov 19, 2020","1,877.40","1,873.30","1,877.50","1,870.00","0.17K","-0.64%"
"Nov 18, 2020","1,889.50","1,892.50","1,893.60","1,882.00","0.58K","-0.69%"
"Nov 17, 2020","1,902.60","1,906.20","1,906.20","1,903.50","0.42K","-0.18%"
"Nov 16, 2020","1,906.00","1,903.10","1,904.70","1,903.00","0.22K","-0.02%"
"Nov 13, 2020","1,906.30","1,894.90","1,913.90","1,894.90","0.45K","0.68%"
"Nov 12, 2020","1,893.50","1,889.90","1,901.60","1,889.90","0.91K","0.66%"
"Nov 11, 2020","1,881.10","1,897.10","1,900.30","1,874.00","0.40K","-0.83%"
"Nov 10, 2020","1,896.90","1,893.80","1,903.90","1,888.10","0.37K","1.19%"
"Nov 09, 2020","1,874.50","1,978.40","1,978.40","1,871.90","0.57K","-4.99%"
"Nov 06, 2020","1,973.00","1,961.50","1,977.70","1,958.10","0.43K","0.29%"
"Nov 05, 2020","1,967.30","1,948.40","1,968.30","1,948.40","0.16K","2.67%"
"Nov 04, 2020","1,916.10","1,916.70","1,928.50","1,908.10","0.23K","-0.73%"
"Nov 03, 2020","1,930.10","1,912.60","1,928.00","1,912.60","0.22K","0.92%"
"Nov 02, 2020","1,912.50","1,896.80","1,914.90","1,896.80","0.12K","0.66%"
"Oct 30, 2020","1,899.90","1,908.00","1,908.00","1,897.60","0.16K","0.62%"
"Oct 29, 2020","1,888.20","1,886.20","1,886.20","1,884.00","0.62K","-0.62%"
"Oct 28, 2020","1,900.00","1,928.90","1,928.90","1,897.30","0.08K","-1.70%"
"Oct 27, 2020","1,932.90","1,921.40","1,933.50","1,921.40","0.06K","0.30%"
"Oct 26, 2020","1,927.10","1,919.00","1,926.10","1,919.00","0.06K","0.04%"
"Oct 23, 2020","1,926.40","1,926.30","1,926.40","1,924.60","0.04K","0.04%"
"Oct 22, 2020","1,925.70","1,940.50","1,940.50","1,907.60","0.18K","-1.26%"
"Oct 21, 2020","1,950.30","1,925.10","1,948.60","1,925.10","0.16K","0.72%"
"Oct 20, 2020","1,936.30","1,922.90","1,936.60","1,921.90","0.11K","0.17%"
"Oct 19, 2020","1,933.00","1,941.90","1,941.90","1,941.90","0.12K","0.24%"
"Oct 16, 2020","1,928.30","1,934.40","1,934.40","1,927.50","0.06K","-0.13%"
"Oct 15, 2020","1,930.80","1,923.20","1,923.20","1,919.20","0.18K","0.05%"
"Oct 14, 2020","1,929.80","1,929.40","1,929.40","1,926.70","0.25K","0.68%"
"Oct 13, 2020","1,916.70","1,937.50","1,949.60","1,915.80","0.23K","-1.74%"
"Oct 12, 2020","1,950.70","1,953.50","1,957.70","1,948.70","0.22K","0.15%"
