"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11, 2020","29.75","30.30","30.58","29.61","12.57M","-1.20%"
"Sep 10, 2020","30.11","30.72","30.86","29.98","16.17M","-1.15%"
"Sep 09, 2020","30.46","29.52","30.59","29.52","20.49M","4.32%"
"Sep 08, 2020","29.20","28.53","29.84","28.25","17.68M","0.52%"
"Sep 04, 2020","29.05","28.98","29.30","28.08","21.45M","-0.72%"
"Sep 03, 2020","29.26","29.32","29.67","28.60","17.76M","-1.18%"
"Sep 02, 2020","29.61","29.17","29.65","28.61","16.84M","0.95%"
"Sep 01, 2020","29.33","30.27","30.33","28.98","17.03M","-1.08%"
"Aug 31, 2020","29.65","29.47","29.98","29.29","14.25M","1.54%"
"Aug 28, 2020","29.20","29.21","29.55","29.05","19.53M","2.17%"
"Aug 27, 2020","28.58","29.86","29.90","28.31","23.14M","-2.69%"
"Aug 26, 2020","29.37","28.44","29.39","28.39","17.09M","2.16%"
"Aug 25, 2020","28.75","28.84","28.94","28.12","17.35M","-0.76%"
"Aug 24, 2020","28.97","29.82","29.82","28.93","16.81M","-1.16%"
"Aug 21, 2020","29.31","29.71","29.78","28.94","16.35M","-2.14%"
"Aug 20, 2020","29.95","29.06","29.99","28.91","22.13M","3.35%"
"Aug 19, 2020","28.98","30.05","30.32","28.80","31.40M","-3.53%"
"Aug 18, 2020","30.04","31.15","31.15","29.75","39.32M","-0.30%"
"Aug 17, 2020","30.13","29.67","30.27","29.35","53.95M","11.63%"
"Aug 14, 2020","26.99","27.13","27.24","26.55","12.64M","-0.55%"
"Aug 13, 2020","27.14","26.61","27.43","26.52","15.12M","3.67%"
"Aug 12, 2020","26.18","26.97","27.05","26.06","21.78M","-0.27%"
"Aug 11, 2020","26.25","26.96","27.56","25.87","36.28M","-8.60%"
"Aug 10, 2020","28.72","29.36","29.92","28.64","15.88M","-0.52%"
"Aug 07, 2020","28.87","29.00","29.35","28.44","14.68M","-2.14%"
"Aug 06, 2020","29.50","30.04","30.10","29.09","15.36M","-1.14%"
"Aug 05, 2020","29.84","30.50","30.69","29.50","23.26M","0.30%"
"Aug 04, 2020","29.75","28.77","29.85","28.35","25.55M","3.59%"
"Aug 03, 2020","28.72","28.80","28.87","28.18","11.50M","-0.66%"
"Jul 31, 2020","28.91","28.72","29.03","28.26","19.82M","2.34%"
"Jul 30, 2020","28.25","27.80","28.62","27.53","16.07M","-1.84%"
"Jul 29, 2020","28.78","29.76","29.82","28.39","26.17M","-2.74%"
"Jul 28, 2020","29.59","29.45","29.88","29.22","16.89M","-1.07%"
"Jul 27, 2020","29.91","29.50","30.20","29.41","27.82M","5.17%"
"Jul 24, 2020","28.44","28.12","28.48","28.03","13.36M","1.61%"
"Jul 23, 2020","27.99","28.51","28.86","27.57","17.49M","-1.86%"
"Jul 22, 2020","28.52","28.65","28.69","28.10","13.49M","1.03%"
"Jul 21, 2020","28.23","28.76","28.84","28.15","17.40M","0.39%"
"Jul 20, 2020","28.12","27.61","28.17","27.61","15.06M","2.85%"
"Jul 17, 2020","27.34","27.04","27.41","26.76","12.31M","2.44%"
"Jul 16, 2020","26.69","26.85","27.08","26.39","11.71M","-1.48%"
"Jul 15, 2020","27.09","26.90","27.10","26.33","13.99M","0.15%"
"Jul 14, 2020","27.05","26.05","27.07","25.95","12.67M","3.52%"
"Jul 13, 2020","26.13","27.49","27.66","26.05","15.52M","-3.61%"
"Jul 10, 2020","27.11","27.64","27.86","26.97","11.55M","-1.74%"
"Jul 09, 2020","27.59","27.96","28.05","27.00","13.00M","-0.47%"
"Jul 08, 2020","27.72","27.55","27.94","27.29","17.36M","2.59%"
"Jul 07, 2020","27.02","26.55","27.20","26.35","12.20M","1.54%"
"Jul 06, 2020","26.61","26.73","26.99","26.36","11.30M","1.29%"
"Jul 02, 2020","26.27","26.60","26.95","26.27","12.82M","-2.01%"
"Jul 01, 2020","26.81","26.98","26.98","25.88","15.63M","-0.48%"
"Jun 30, 2020","26.94","26.10","27.04","25.86","15.37M","3.10%"
"Jun 29, 2020","26.13","26.00","26.18","25.77","10.30M","1.01%"
"Jun 26, 2020","25.87","25.64","25.96","25.17","12.12M","0.54%"
"Jun 25, 2020","25.73","25.81","25.83","25.32","10.07M","0.08%"
"Jun 24, 2020","25.71","25.65","26.24","25.36","19.76M","0.12%"
"Jun 23, 2020","25.68","25.95","26.18","25.50","15.98M","0.90%"
"Jun 22, 2020","25.45","25.11","25.86","25.04","17.41M","3.92%"
"Jun 19, 2020","24.49","24.25","24.84","24.10","19.20M","2.30%"
"Jun 18, 2020","23.94","24.15","24.43","23.84","12.57M","-1.28%"
"Jun 17, 2020","24.25","24.50","24.79","24.11","9.24M","-0.53%"
"Jun 16, 2020","24.38","24.42","24.91","24.12","16.26M","-1.46%"
"Jun 15, 2020","24.74","23.50","24.82","23.08","15.76M","2.78%"
